contributor_id,session_id,timestamp,image_filename,steering_angle,speed_kmh,brake,autonomous_mode,lane_side,line_detected,edge_detected,gps_x,gps_y,lidar_obstacle_detected,lidar_obstacle_distance,behavior_class,nav_command,obstacle_type
A01,20260624_174930,2026-06-25T00:49:30.974,A01_frame_000001.jpg,0.0000,25.33,0.4902,0,1,0,1,-113.942,-30.606,1,8.41,1,0,VEHICLE
A01,20260624_174930,2026-06-25T00:49:31.489,A01_frame_000002.jpg,0.0000,28.47,0.4902,0,1,0,1,-113.967,-33.089,0,,1,0,
A01,20260624_174930,2026-06-25T00:49:32.007,A01_frame_000003.jpg,-0.1455,27.84,0.4902,0,1,0,1,-113.989,-35.723,1,8.56,1,0,VEHICLE
A01,20260624_174930,2026-06-25T00:49:32.520,A01_frame_000004.jpg,0.0000,28.16,0.4902,0,1,0,1,-113.955,-38.129,0,,1,0,
A01,20260624_174930,2026-06-25T00:49:33.027,A01_frame_000005.jpg,0.0000,28.16,0.4902,0,1,0,1,-113.898,-40.856,0,,1,0,
A01,20260624_174930,2026-06-25T00:49:33.543,A01_frame_000006.jpg,0.0000,28.86,0.4863,0,1,0,1,-113.841,-43.602,0,,1,0,
A01,20260624_174930,2026-06-25T00:49:34.052,A01_frame_000007.jpg,0.0000,28.47,0.4902,0,1,0,1,-113.782,-46.425,0,,1,0,
A01,20260624_174930,2026-06-25T00:49:34.560,A01_frame_000008.jpg,0.0000,28.78,0.4902,0,1,0,1,-113.722,-49.253,0,,1,0,
A01,20260624_174930,2026-06-25T00:49:35.070,A01_frame_000009.jpg,0.0000,28.16,0.4902,0,1,0,1,-113.664,-51.993,0,,0,0,
A01,20260624_174930,2026-06-25T00:49:35.572,A01_frame_000010.jpg,0.0000,28.47,0.4902,0,1,0,1,-113.605,-54.733,0,,0,0,
A01,20260624_174930,2026-06-25T00:49:36.074,A01_frame_000011.jpg,0.0000,27.53,0.4902,0,1,0,1,-113.547,-57.475,1,9.41,0,0,OBSTACLE
A01,20260624_174930,2026-06-25T00:49:36.580,A01_frame_000012.jpg,0.0000,26.59,0.4902,0,1,0,1,-113.494,-60.038,1,8.67,0,0,OBSTACLE
A01,20260624_175145,2026-06-25T00:51:45.650,A01_frame_000013.jpg,-0.0851,34.20,0.4863,0,1,0,1,-87.205,46.952,1,6.93,0,0,OBSTACLE
A01,20260624_175145,2026-06-25T00:51:46.157,A01_frame_000014.jpg,-0.0851,41.33,0.4902,0,1,0,1,-89.845,45.708,1,13.38,0,0,OBJECT_AHEAD
A01,20260624_175145,2026-06-25T00:51:46.668,A01_frame_000015.jpg,0.0000,39.76,0.4902,0,1,0,1,-92.930,43.977,0,,0,0,
A01,20260624_175145,2026-06-25T00:51:47.177,A01_frame_000016.jpg,-0.1235,39.45,0.4902,0,1,0,1,-96.005,41.951,1,5.60,0,0,OBSTACLE
A01,20260624_175145,2026-06-25T00:51:47.682,A01_frame_000017.jpg,-0.1126,38.82,0.4902,0,1,0,1,-98.790,39.621,1,6.57,0,0,OBSTACLE
A01,20260624_175145,2026-06-25T00:51:48.193,A01_frame_000018.jpg,-0.0906,39.45,0.4902,0,1,0,1,-101.148,36.997,0,,1,0,
A01,20260624_175145,2026-06-25T00:51:48.705,A01_frame_000019.jpg,-0.0796,39.45,0.4902,0,1,0,1,-103.019,34.372,0,,1,0,
A01,20260624_175145,2026-06-25T00:51:49.214,A01_frame_000020.jpg,0.0000,39.53,0.4863,0,1,0,1,-105.025,31.052,1,9.49,1,0,VEHICLE
A01,20260624_175145,2026-06-25T00:51:49.716,A01_frame_000021.jpg,-0.1071,39.45,0.4902,0,1,0,1,-107.045,27.594,1,7.80,1,0,VEHICLE
A01,20260624_175145,2026-06-25T00:51:50.218,A01_frame_000022.jpg,-0.1126,38.20,0.4902,0,1,0,1,-108.625,24.355,0,,1,0,
A01,20260624_175145,2026-06-25T00:51:50.728,A01_frame_000023.jpg,0.0000,36.63,0.4902,0,1,0,1,-109.949,21.211,1,7.92,1,0,VEHICLE
A01,20260624_175204,2026-06-25T00:52:04.881,A01_frame_000024.jpg,0.0000,70.20,0.4902,0,1,0,1,-112.872,-18.752,1,16.39,0,0,OBJECT_AHEAD
A01,20260624_175204,2026-06-25T00:52:05.392,A01_frame_000025.jpg,0.0000,34.12,0.4902,0,1,0,1,-112.950,-22.408,1,10.67,0,0,OBJECT_AHEAD
A01,20260624_175204,2026-06-25T00:52:05.901,A01_frame_000026.jpg,0.0000,42.27,0.4902,0,1,0,1,-113.024,-26.192,1,9.18,1,0,VEHICLE
A01,20260624_175204,2026-06-25T00:52:06.405,A01_frame_000027.jpg,0.0000,40.39,0.4902,0,1,0,1,-113.097,-30.118,1,10.47,1,0,OBJECT_AHEAD
A01,20260624_175204,2026-06-25T00:52:06.914,A01_frame_000028.jpg,0.0000,42.27,0.4902,0,1,0,1,-113.162,-34.013,0,,1,0,
A01,20260624_175204,2026-06-25T00:52:07.420,A01_frame_000029.jpg,0.0000,40.71,0.4902,0,1,0,1,-113.223,-37.992,1,10.35,1,0,OBJECT_AHEAD
A01,20260624_175204,2026-06-25T00:52:07.932,A01_frame_000030.jpg,0.0000,37.57,0.4902,0,1,0,1,-113.275,-41.807,1,10.27,1,0,OBJECT_AHEAD
A01,20260624_175204,2026-06-25T00:52:08.440,A01_frame_000031.jpg,0.0000,38.90,0.4863,0,1,0,1,-113.320,-45.514,0,,1,0,
A01,20260624_175204,2026-06-25T00:52:08.954,A01_frame_000032.jpg,-0.0796,37.88,0.4902,0,1,0,1,-113.351,-48.445,1,10.61,1,0,OBJECT_AHEAD
A01,20260624_175204,2026-06-25T00:52:09.466,A01_frame_000033.jpg,0.0000,38.20,0.4902,0,1,0,1,-113.295,-52.162,0,,1,0,
A01,20260624_175204,2026-06-25T00:52:09.969,A01_frame_000034.jpg,0.0000,38.51,0.4902,0,1,0,1,-113.216,-55.904,0,,1,0,
